%eval_id interface RELDEPTH       DIAMETER       ANGLE          ELECTRELDEPTH  THICKNESS_SKIN THICKNESS_SCT  THICKNESS_APONEUROSIS THICKNESS_LOOSE_AREOLAR_TISSUE THICKNESS_SKULL_OUTER THICKNESS_SKULL_DIPLOE THICKNESS_SKULL_INNER THICKNESS_CSF  CONDUCTIVITY_SKIN CONDUCTIVITY_SCT CONDUCTIVITY_APONEUROSIS CONDUCTIVITY_LOOSE_AREOLAR_TISSUE CONDUCTIVITY_SKULL_CORTICAL CONDUCTIVITY_SKULL_DIPLOE CONDUCTIVITY_CSF AFmax_4um      GAFmax_4um     
1        INTERFACE  0.6599006806   0.9074222564   51.66224542    0.7877136304   0.8260237304   0.8435013025   0.2427247218   0.8997794356   1.577370369    4.087941066    0.4892662875   3.433470212    0.1191463795   0.06456037697  0.08604192622  0.1142042712   0.01185953705  0.391438768    3.737271109    271.4136348    6.903266322    
2        INTERFACE  0.1690079014   0.3056266343   70.34732852    0.8977230236   0.2783195398   1.888815581    0.2298958053   0.7100554619   2.616874456    1.814370304    2.920275742    4.12376013     0.06678440612  0.3062435199   0.03131967851  0.1290743038   0.007422850564 0.2854190835   1.442142661    208.0128581    7.212206593    
3        INTERFACE  0.6579528493   0.1368498613   39.14807864    0.7127303721   0.3749990796   0.7200260652   0.1254228547   1.399668765    1.996137344    4.040648236    1.997183475    2.337764784    0.2436000649   0.1633977287   0.07704267728  0.1431969829   0.01364655839  0.1477558287   1.155866543    322.6703355    9.686808572    
4        INTERFACE  0.983743879    0.554007222    8.98937291     0.2098355174   0.6773371352   1.017590421    0.3266876724   1.352756659    1.494919849    3.418884853    2.242504734    2.712564965    0.1562227819   0.2731438847   0.05513520897  0.01042294875  0.003182905491 0.3097705907   2.214887116    134.4312779    8.375912601    
5        INTERFACE  0.2782739891   0.4334015778   32.88762082    0.4555779875   0.7944543276   0.7839893408   0.4268343916   0.4603143031   1.392539173    2.136196285    0.102987197    2.111338414    0.2410653912   0.3046063036   0.07778234874  0.03122491487  0.01326748001  0.2979492557   3.078622562    229.4677844    7.117058754    
6        INTERFACE  0.6935481352   0.9308865599   14.48723363    0.4310073622   0.2733812764   1.1010564      0.1869767024   1.193702896    2.043025905    4.200912785    2.833186041    2.203095013    0.1050913166   0.1713773487   0.1041237394   0.04422502734  0.01277724681  0.3447377243   0.4533985988   175.7540538    9.44487155     
7        INTERFACE  0.6679744616   0.3852860505   28.49369712    0.9180920371   0.3489845661   1.527305997    0.5127814545   1.059870194    1.272690439    2.433722007    1.328695751    2.524318611    0.04174158536  0.007056525845 0.1090465897   0.1113156431   0.00504367984  0.008977243237 2.178671469    173.3558045    10.98580512    
8        INTERFACE  0.7431340894   0.2236557063   51.51293603    0.2104139858   0.7921575378   0.4040061624   0.4276015323   0.9895653507   2.064869987    1.92808175     2.055147436    3.73205099     0.1392167656   0.3283334567   0.132138991    0.09755845366  0.007064827418 0.1107166783   3.443650774    447.673202     9.721485774    
9        INTERFACE  0.4197486558   0.4627844459   24.40581669    0.01518536957  0.2042778515   0.9956815943   0.5181558936   1.280382863    2.09931025     3.833020145    1.133318553    2.292529946    0.1577732488   0.2475513373   0.116331301    0.064146876    0.006336569536 0.1143020385   1.810008631    283.0051731    12.36153716    
10       INTERFACE  0.5465377113   0.6022602808   36.28478408    0.3530768056   0.7683855172   1.792674954    0.3104800617   0.7342278991   2.371444416    1.671256964    2.129266256    4.322618388    0.1274153633   0.2988770741   0.04485635374  0.1259786534   0.007603883451 0.4350505077   2.16819176     170.1228704    9.525338166    
11       INTERFACE  0.485256142    0.7479265255   18.76621761    0.5014611095   0.6752792816   1.004765549    0.2528654726   1.620477286    2.094642489    3.86578159     0.6381688615   3.614974718    0.2087127096   0.2101076938   0.03624798586  0.1364389338   0.002840437185 0.3733169199   3.602973255    149.032384     12.93530264    
12       INTERFACE  0.5316161844   0.9938669113   18.05775218    0.7607704268   0.5224171035   0.3965340299   0.4155689238   1.245953235    3.288369325    2.497507258    0.4272882988   4.34115199     0.2339028169   0.1196099419   0.03293646495  0.07712157377  0.003069347173 0.14795107     0.5826695515   140.4504134    12.50672573    
13       INTERFACE  0.087359205    0.9419409207   63.1058468     0.9572082425   0.8091501106   0.9498491889   0.1723605196   0.8117730401   0.4858513156   3.913559001    2.071633951    3.300800009    0.1632106242   0.3135739562   0.02965111465  0.02648013739  0.004653994139 0.3202565965   2.819388491    165.3146157    4.361139657    
14       INTERFACE  0.557074315    0.3746787808   7.933198197    0.1365128332   0.6710118039   0.7802471865   0.2339225387   1.565856411    0.3724809598   3.36665197     0.7600298465   4.06737941     0.1836665981   0.05306036437  0.1262264351   0.1142765543   0.001644536269 0.3799317313   0.6469308743   525.9807439    9.789022442    
15       INTERFACE  0.1172962652   0.946264279    58.4176277     0.6498784229   0.8370515719   0.4768869299   0.4546596533   1.611420338    1.125078169    3.678980126    2.379838095    5.032058677    0.2535697598   0.01870414465  0.05845027338  0.02632470489  0.01134352191  0.08791718456  1.632217257    169.3881127    4.009630987    
