%eval_id interface RELDEPTH       DIAMETER       ANGLE          ELECTRELDEPTH  THICKNESS_SKIN THICKNESS_SCT  THICKNESS_APONEUROSIS THICKNESS_LOOSE_AREOLAR_TISSUE THICKNESS_SKULL_OUTER THICKNESS_SKULL_DIPLOE THICKNESS_SKULL_INNER THICKNESS_CSF  CONDUCTIVITY_SKIN CONDUCTIVITY_SCT CONDUCTIVITY_APONEUROSIS CONDUCTIVITY_LOOSE_AREOLAR_TISSUE CONDUCTIVITY_SKULL_CORTICAL CONDUCTIVITY_SKULL_DIPLOE CONDUCTIVITY_CSF AFmax_4um      GAFmax_4um     
1        INTERFACE  0.05284090779  0.9931224972   6.381558909    0.5997429095   0.5194639691   1.520155871    0.5319743584   0.9626321695   2.788620817    2.002724201    0.8316792891   4.147189306    0.2514502542   0.2954143616   0.02583384431  0.1087256877   0.006342775738 0.3826828644   2.60629299     69.68442502    11.71646903    
2        INTERFACE  0.7829440985   0.2752654927   48.02963713    0.3796937924   0.6681375678   1.405294766    0.2346514613   0.7529224988   2.510342981    2.166010659    2.535420071    4.343483989    0.05415263785  0.3446577548   0.1368870988   0.07875004701  0.01262838686  0.3458871745   2.91581388     226.8109003    7.227263642    
3        INTERFACE  0.4266794401   0.5627633961   38.63251772    0.9330756669   0.4455368901   0.3437684594   0.1053168461   0.8717605567   2.935177855    2.931238937    0.5284883411   4.607785676    0.2718691974   0.05742456979  0.04653385306  0.1438860261   0.004347131277 0.09083849264  0.04526166971  347.0407805    20.72592711    
4        INTERFACE  0.4996787276   0.7780516971   31.33595902    0.4019703901   0.4265270439   1.491051206    0.5467201749   1.760731958    3.138825838    1.864913346    1.601687419    4.793354507    0.07849393719  0.046834761    0.1347678209   0.06920935946  0.01349361486  0.381070383    2.47237704     210.7050105    12.54784133    
5        INTERFACE  0.1070125461   0.3872115416   11.41173274    0.483080774    0.4593938478   0.5767892055   0.2970286332   1.310991605    1.606068986    3.695725478    1.854244464    3.543061233    0.1592967509   0.1007009437   0.02024351308  0.1045114258   0.01336872293  0.1245514669   1.758315349    286.9434746    11.7729796     
6        INTERFACE  0.1158349565   0.7837977191   49.3850449     0.7325352015   0.6197522658   0.7074472399   0.4337198898   0.8634384179   1.678637545    1.343719246    1.425263166    3.14112896     0.09257102148  0.2298312744   0.06671796159  0.03537248112  0.00197029258  0.3521388987   1.390253179    333.0980174    18.24035356    
7        INTERFACE  0.4678142294   0.9557310674   88.97499239    0.9926489656   0.6661248764   1.407487709    0.1179477096   1.243571665    3.075256128    2.995400871    1.403022152    2.265045229    0.05333945255  0.06552371855  0.01097153951  0.04329746314  0.007350342511 0.2137645827   0.5663364112   370.2003448    15.40560327    
8        INTERFACE  0.7162499367   0.379741811    15.69796939    0.6075620881   0.3871029616   0.3409527322   0.3459110711   1.685607263    0.3964095564   4.222150934    1.955179618    3.437741588    0.204575647    0.146442455    0.125923019    0.05686887164  0.01175042947  0.458567781    3.66060399     260.5862446    7.899027729    
9        INTERFACE  0.6205069723   0.5074126977   12.57215733    0.07734067529  0.4053015075   0.506558505    0.4646490128   0.3936820983   2.33067201     1.918587052    0.6226587559   3.663508776    0.1543981456   0.2049518931   0.04253541269  0.03182300154  0.01072359579  0.3571969938   2.091905117    466.2243656    15.72769768    
10       INTERFACE  0.6435553917   0.4819992686   66.49834202    0.4757577522   0.28041007     0.7514143702   0.1956312401   0.7982303848   0.5841247471   2.664312853    2.772357361    2.756760248    0.2362410404   0.02295033351  0.03376807614  0.09841316907  0.00166764136  0.1846130118   2.35573801     808.515672     24.15428745    
