Id,Depth,Diameter,Angle,ThicknessSkin,ThicknessSct,ThicknessAponeurosis,ThicknessLooseAreolarTissue,ThicknessSkullOuter,ThicknessSkullDiploe,ThicknessSkullInner,ThicknessCsf,ConductivitySkin,ConductivitySct,ConductivityAponeurosis,ConductivityLooseAreolarTissue,ConductivitySkullCortical,ConductivitySkullDiploe,ConductivityCsf,AfPeak,aAfPeak,res,ares,nres,anres
15,0.050502,0.0268969,-1.02795,-0.0744976,-0.228085,-0.167527,0.00181431,0.0890701,0.0428956,0.125365,0.299068,-0.181207,-0.0834931,0.280635,0.29046,-0.169391,-0.305009,0.0906751,2032.43,2032.43,-1177.6,1177.6,-15.8356,15.8356
13,-0.0245713,-0.146174,-1.07558,0.267458,0.292351,-0.21102,0.255411,0.268426,-0.175189,0.0961887,-0.315377,0.19517,-0.157252,0.0792366,-0.292252,-0.155304,-0.221874,-0.334509,431.203,431.203,1128.99,1128.99,15.1818,15.1818
6,-0.179372,-0.211017,-0.611482,0.0843871,-0.00524702,-0.0266527,-0.316859,-0.285969,0.100773,-0.0827364,-0.16915,-0.00548054,-0.312695,0.0333352,0.17107,-0.0275663,0.0816093,-0.102199,1514.12,1514.12,-779.73,779.73,-10.4853,10.4853
67,-0.278867,0.224001,0.0809032,0.134583,0.228502,-0.0272801,-0.604918,-0.318,-0.149221,-0.25906,-0.299974,0.0786065,-0.0465402,-0.193221,-0.258935,0.145832,0.091882,0.194548,342.421,342.421,449.815,449.815,6.04881,6.04881
43,-0.0894901,-0.124288,-0.321233,-0.319748,0.284498,-0.188482,1.31467,0.104475,-0.0792155,0.282824,0.24661,0.165483,0.333548,-0.196517,-0.274266,0.133154,0.260879,0.0874839,311.314,311.314,-422.651,422.651,-5.68352,5.68352
96,0.292674,0.311392,0.541181,0.0217407,0.0372306,-0.0648856,-0.0182853,-0.130694,0.081654,-0.151391,0.0998489,-0.335112,-0.283049,0.236981,0.289042,-0.0541623,-0.134854,0.201984,198.867,198.867,364.219,364.219,4.89778,4.89778
48,0.0944989,0.303022,0.697482,-0.23415,-0.3316,-0.0502252,0.0964123,-0.294528,-0.146397,-0.0544998,0.265772,0.00881758,0.0707628,0.218951,-0.165299,-0.144868,0.165331,-0.248607,741.212,741.212,364.071,364.071,4.89579,4.89579
66,-0.336969,0.0918306,-0.286031,-0.0174451,0.0284946,-0.22406,-0.963812,-0.164423,0.116845,-0.227001,0.121332,-0.130004,0.0963919,0.214629,0.208596,0.11916,-0.168372,-0.0078362,275.387,275.387,309.628,309.628,4.16368,4.16368
42,-0.255213,0.0561109,-1.38761,0.0777115,0.171852,-0.298479,-0.849008,-0.262159,0.168453,-0.201291,-0.331997,0.0963945,-0.0483255,0.016921,0.192729,-0.13345,-0.229654,0.317792,235.91,235.91,-297.975,297.975,-4.00697,4.00697
57,-0.292361,-0.118661,1.6576,0.173214,-0.279205,0.0673637,0.736571,0.189263,0.280774,0.313,-0.308642,-0.0489267,-0.134298,0.32347,0.00693718,0.108635,0.21287,0.250464,349.651,349.651,242.795,242.795,3.26495,3.26495
35,0.0735259,-0.249718,0.989657,-0.0850045,-0.195412,0.18973,-0.0829811,0.246528,0.319404,-0.305637,-0.0715014,0.0728962,0.276018,-0.222509,-0.325007,-0.0935313,-0.194203,0.323085,648.491,648.491,-234.197,234.197,-3.14933,3.14933
60,-0.0195068,0.249826,-0.799502,0.248156,0.216742,-0.00956981,-0.454456,0.138775,0.125772,0.170972,-0.240733,-0.23399,0.117354,0.225653,0.211675,0.277898,0.240684,0.117414,598.422,598.422,-227.119,227.119,-3.05415,3.05415
78,-0.186042,0.210746,0.629551,-0.117921,-0.0872441,-0.269442,-1.4366,-0.102198,-0.0640112,0.102066,0.287986,0.0411777,0.0148218,0.155521,-0.107704,0.136609,0.186389,-0.25484,153.923,153.923,-222.823,222.823,-2.99637,2.99637
89,-0.231273,0.305693,0.436162,-0.296506,0.305024,0.0816719,1.15387,0.280525,0.0913204,0.0638915,-0.134064,0.0608459,0.110354,-0.0561968,0.0573687,-0.22261,-0.180274,0.040079,334.544,334.544,220.873,220.873,2.97015,2.97015
37,0.301461,0.136226,0.754258,0.307553,-0.113836,0.174368,-0.351337,0.0384139,-0.163162,0.151281,-0.0165736,-0.13727,-0.176398,-0.312067,-0.0897455,-0.0855176,0.247458,-0.291748,485.258,485.258,-204.452,204.452,-2.74933,2.74933
47,-0.0400869,0.0540145,-0.68407,0.197339,0.0236727,-0.116159,1.72415,0.149432,-0.242824,0.324869,0.0895672,-0.00764621,-0.281449,0.326426,0.112339,-0.183328,-0.324696,-0.310355,640.05,640.05,196.886,196.886,2.64759,2.64759
51,0.00440094,-0.307203,-0.245942,-0.0515785,-0.054034,0.114787,1.13914,0.193175,0.193238,-0.0113403,0.233578,0.148061,0.024982,-0.133089,0.32266,-0.0770826,-0.0401422,0.156157,190.484,190.484,167.107,167.107,2.24714,2.24714
97,-0.0859864,-0.136681,1.26639,0.291018,-0.0651207,0.265236,1.23197,-0.0105069,0.0768372,0.0759204,0.175392,0.000188036,-0.150193,-0.305431,0.247133,0.233409,0.0284168,0.022829,238.99,238.99,146.402,146.402,1.96872,1.96872
44,-0.101334,-0.172572,0.457982,0.241539,-0.144556,-0.25378,0.704137,-0.223625,-0.182759,0.0880076,0.151735,0.0912703,0.171393,0.0579211,0.00538586,0.0584367,-0.0624543,0.0133174,361.948,361.948,-142.673,142.673,-1.91857,1.91857
41,0.17888,-0.313027,-0.547929,-0.30223,0.192291,0.33453,-1.62852,0.318384,-0.0287462,0.0027868,0.061221,-0.0329673,-0.0671895,0.124713,0.155878,-0.334352,0.0960086,-0.110293,822.647,822.647,-138.698,138.698,-1.86512,1.86512
62,0.140065,0.100854,-1.17385,0.191462,0.212607,0.0197852,1.24813,0.312587,0.326957,-0.136733,0.282732,-0.0730796,-0.100645,-0.23142,-0.137424,-0.0470151,0.274141,0.099952,590.393,590.393,137.511,137.511,1.84915,1.84915
70,0.307338,-0.0324161,0.00525379,-0.141474,-0.318733,0.00568537,-0.119947,-0.086257,0.19994,0.310579,-0.0947086,0.265833,-0.317046,0.000409702,0.165999,0.170189,0.221148,-0.19597,452.387,452.387,-135.735,135.735,-1.82528,1.82528
34,-0.0752168,-0.0451115,-0.226649,0.104075,-0.0197657,-0.308699,-0.825887,0.210015,0.181701,0.248199,0.19599,0.0492635,0.322458,-0.0491249,0.325955,-0.0993598,0.155634,-0.124356,671.686,671.686,-133.835,133.835,-1.79972,1.79972
26,0.284425,-0.222332,-1.22651,0.217008,-0.068262,0.289569,0.136036,-0.151301,-0.21079,-0.126844,-0.216877,0.304173,0.256307,0.25268,0.0736656,0.214802,-0.306665,-0.218088,498.036,498.036,128.73,128.73,1.73108,1.73108
52,-0.22354,0.0852621,-0.999158,0.226482,-0.176765,0.25927,-1.37873,-0.173362,0.149199,-0.266575,-0.0487795,0.102204,-0.024427,0.245482,0.303432,-0.0142839,-0.0108327,0.224696,169.635,169.635,124.768,124.768,1.67779,1.67779
4,0.10921,0.129526,0.797704,-0.237019,0.114533,-0.278056,-1.04734,0.167117,-0.121553,-0.301576,-0.139722,-0.301322,-0.0554318,-0.0380689,-0.00265449,-0.270629,-0.249356,-0.16807,386.306,386.306,119.633,119.633,1.60875,1.60875
74,-0.308243,0.105001,-0.571473,-0.0383585,-0.172432,-0.104215,-0.6319,-0.235273,-0.0985134,0.0884493,-0.0394292,0.0558892,0.0513809,-0.148316,0.0649277,-0.0211144,-0.0203327,-0.276303,184.277,184.277,117.145,117.145,1.57529,1.57529
31,0.280053,-0.236709,-0.633953,0.00953742,0.0569507,-0.317021,0.185158,-0.0466976,0.307489,0.014489,-0.265765,-0.160149,-0.18798,-0.135373,-0.0827001,0.0522475,0.191888,0.269911,299.84,299.84,-108.952,108.952,-1.46512,1.46512
17,0.196506,0.180065,-1.31534,0.178837,0.333404,0.24815,-0.996672,-0.0173927,0.0137562,-0.249561,0.335901,-0.216124,-0.169785,0.105847,-0.184182,-0.303461,0.1978,-0.141753,229.726,229.726,103.582,103.582,1.3929,1.3929
16,0.27421,0.0306562,1.23206,-0.191505,-0.0569432,0.240811,-0.709646,-0.0586005,-0.241627,0.335942,-0.0615041,-0.0948272,-0.263872,-0.292723,0.22623,0.074682,-0.0477993,-0.0172653,353.248,353.248,87.7448,87.7448,1.17993,1.17993
61,-0.0558978,0.0163284,1.43308,0.0324257,0.182855,0.137634,-0.438589,-0.0404303,0.103062,0.255456,-0.0231501,-0.145401,0.281613,-0.0998807,0.266938,-0.263963,0.127288,-0.271229,644.553,644.553,-83.4308,83.4308,-1.12192,1.12192
28,-0.271556,-0.0373905,-1.62653,0.0159702,-0.30692,0.124567,0.498987,0.0709166,0.213601,-0.112597,-0.194803,-0.168759,-0.143715,-0.252278,0.331195,0.0292217,-0.137143,-0.0486058,419.411,419.411,82.7829,82.7829,1.11321,1.11321
69,0.0323909,0.203857,-0.352332,0.0882478,0.144524,0.307817,0.394696,0.242517,0.134144,0.0375369,0.0270105,-0.0140564,0.274808,0.29284,-0.0252316,0.241444,0.1095,0.265119,262.432,262.432,-76.998,76.998,-1.03542,1.03542
29,-0.157549,-0.134873,-0.76427,0.064311,-0.128286,-0.150795,0.466608,0.0257592,0.269738,-0.255991,0.258174,-0.188207,-0.29803,0.0415543,0.151447,0.0926739,-0.33559,0.22826,322.506,322.506,72.469,72.469,0.974515,0.974515
54,0.227908,-0.0803397,0.564217,0.0525431,-0.287842,-0.0424047,0.79664,0.217597,-0.225491,-0.231786,-0.150288,0.124551,0.288503,0.0108064,-0.012839,-0.31845,0.108691,0.338953,565.622,565.622,-71.4257,71.4257,-0.960486,0.960486
53,0.150309,0.318968,0.837623,0.157605,-0.234319,0.0564138,-0.898178,0.0829491,-0.168993,-0.0695426,-0.249296,0.208789,0.0795599,0.273708,-0.285468,0.12793,-0.161893,-0.0471892,539.242,539.242,-71.0569,71.0569,-0.955527,0.955527
25,0.00982224,0.148316,-1.52708,0.331114,0.124303,-0.183303,-1.61583,0.310999,-0.331901,0.146561,0.331606,0.334801,-0.307255,-0.168421,0.202163,-0.119664,0.171714,0.253234,370.036,370.036,70.1742,70.1742,0.943656,0.943656
91,-0.0413463,-0.180027,-0.391213,0.10024,0.324523,-0.176434,0.332778,-0.32847,-0.102733,0.29121,-0.00743276,-0.288042,0.201178,0.172503,-0.121719,0.0388014,-0.101818,-0.154734,562.789,562.789,-65.0849,65.0849,-0.875219,0.875219
7,-0.00722326,-0.200921,1.48019,0.188811,-0.33122,0.209095,-0.0384728,-0.218057,0.13563,0.119149,0.181391,0.0374314,-0.230109,-0.0861261,-0.0964934,0.161187,0.0527791,-0.00402575,337.413,337.413,-65.0152,65.0152,-0.874282,0.874282
99,0.174628,0.287591,0.402747,0.0458086,0.272584,-0.333477,1.34965,-0.128257,-0.109209,-0.131128,-0.0751349,0.281823,-0.00357166,-0.172729,0.0324322,0.0104524,-0.0796898,-0.133328,314.147,314.147,64.7031,64.7031,0.870085,0.870085
94,-0.196109,0.0705546,-0.853316,-0.175664,0.0114808,0.18051,0.433553,0.0806026,-0.229307,0.269265,-0.276604,0.128475,-0.122401,-0.0617113,-0.182114,0.2698,-0.199808,-0.319012,741.835,741.835,64.0936,64.0936,0.861888,0.861888
33,-0.208941,0.167877,0.279047,-0.110612,-0.0308821,0.322864,-1.01445,0.0093259,-0.156449,-0.316687,-0.297652,0.118828,0.217692,-0.0801846,-0.0370484,-0.102505,-0.236151,-0.0679165,228.175,228.175,58.7744,58.7744,0.79036,0.79036
90,0.101746,0.233442,0.210399,-0.141912,-0.152258,0.285882,1.60119,-0.0620887,0.225197,0.221592,-0.0334342,-0.26791,0.145543,-0.270324,0.0958471,-0.282577,-0.0547889,-0.0916166,132.621,132.621,58.4012,58.4012,0.785341,0.785341
85,-0.049964,0.267487,-0.0909923,-0.285987,0.239641,0.0407526,0.81096,0.019138,-0.0881485,-0.0205573,0.293638,0.226137,-0.00697649,-0.111276,0.238304,0.015684,-0.215861,0.294745,328.019,328.019,57.8828,57.8828,0.778369,0.778369
2,-0.112019,-0.0202169,0.193048,0.316148,-0.301658,0.157349,-1.27184,-0.236896,0.156886,0.214351,0.241357,0.323734,0.161061,0.0204339,-0.208241,-0.0400471,0.00611488,0.0526138,139.31,139.31,55.4596,55.4596,0.745783,0.745783
