Id,Interface,Depth,Diameter,Angle,ThicknessSkin,ThicknessSct,ThicknessAponeurosis,ThicknessLooseAreolarTissue,ThicknessSkullOuter,ThicknessSkullDiploe,ThicknessSkullInner,ThicknessCsf,ConductivitySkin,ConductivitySct,ConductivityAponeurosis,ConductivityLooseAreolarTissue,ConductivitySkullCortical,ConductivitySkullDiploe,ConductivityCsf,AfPeak
1,INTERFACE,-0.226708,0.0528428,-1.71081,0.0993545,0.113957,0.205924,0.734692,0.143579,-0.297352,0.139215,-0.278869,-0.274006,0.16181,-0.0708571,0.179342,-0.114207,-0.0189281,-0.0708018,149.844
2,INTERFACE,0.155042,0.221975,-0.910133,-0.325801,0.280957,0.10254,-0.0237043,0.117447,0.156646,0.0765964,0.22123,-0.0435326,-0.163881,-0.180607,0.201277,-0.200048,-0.044604,0.33601,182.667
3,INTERFACE,0.180103,-0.0091051,1.68866,0.284055,-0.140801,0.14814,1.04464,-0.336013,-0.33562,-0.271581,-0.0118715,-0.282576,-0.141401,-0.0780097,-0.289447,0.10459,0.237597,-0.260026,414.591
4,INTERFACE,-0.284613,-0.000974008,-0.163218,0.0232139,0.155583,-0.0543237,-0.996706,-0.161951,-0.0351159,0.147746,0.127328,-0.00120214,0.220252,0.232649,-0.167642,0.153536,-0.138262,-0.26994,256.319
5,INTERFACE,-0.147473,-0.322448,-1.60972,0.181137,0.15467,0.270925,0.14481,-0.26121,0.139655,0.337727,0.0338841,-0.170299,-0.324852,0.140544,0.134494,-0.329503,-0.239729,0.0757237,113.329
6,INTERFACE,-0.018819,0.0313646,-1.27924,-0.180038,0.0116703,-0.142084,-0.365762,-0.200424,0.294057,0.0142026,0.0722169,-0.0967356,-0.28052,0.21061,0.0376092,0.010676,-0.0751894,0.305261,340.622
7,INTERFACE,-0.0228049,0.251948,0.337921,-0.281709,-0.101384,0.0455699,0.119289,-0.133945,-0.328553,-0.096658,0.235982,-0.267809,0.0797695,-0.121778,0.147955,0.215316,0.146956,0.17148,316.557
8,INTERFACE,-0.202459,-0.0132941,0.416479,-0.213303,0.303102,0.0444816,0.329161,-0.107136,0.088866,-0.158658,0.168349,0.313529,-0.0560855,0.0300969,0.0293718,0.173253,0.334975,0.0960606,252.028
9,INTERFACE,0.0826522,-0.319684,0.507955,0.123282,-0.140099,-0.144494,0.812168,-0.141937,0.258106,0.0111422,-0.00848236,-0.0989969,-0.128781,0.119153,0.23576,-0.175393,0.0829832,-0.169199,466.189
10,INTERFACE,-0.251633,-0.0542595,-1.35211,0.329816,0.0456115,0.249186,1.53018,-0.13087,0.126306,-0.0986099,-0.190772,-0.114824,-0.300113,0.30407,-0.287483,-0.0157516,-0.182805,0.136952,96.5883
