%eval_id RELDEPTH DIAMETER POSITION ANGLE ELECTRELDEPTH THICKNESS_SKIN THICKNESS_SCT THICKNESS_APONEUROSIS THICKNESS_LOOSE_AREOLAR_TISSUE THICKNESS_SKULL_OUTER THICKNESS_SKULL_DIPLOE THICKNESS_SKULL_INNER THICKNESS_CSF CONDUCTIVITY_SKIN CONDUCTIVITY_SCT CONDUCTIVITY_APONEUROSIS CONDUCTIVITY_LOOSE_AREOLAR_TISSUE CONDUCTIVITY_SKULL_CORTICAL CONDUCTIVITY_SKULL_DIPLOE CONDUCTIVITY_CSF
1 0 0.3 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
2 0.1 0.3 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
3 0.2 0.3 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
4 0.3 0.3 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
5 0.4 0.3 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
6 0.5 0.3 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
7 0.6 0.3 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
8 0.7 0.3 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
9 0.8 0.3 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
10 0.9 0.3 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
11 1 0.3 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
12 0.5 0.1 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
13 0.5 0.19 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
14 0.5 0.28 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
15 0.5 0.37 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
16 0.5 0.46 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
17 0.5 0.55 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
18 0.5 0.64 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
19 0.5 0.73 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
20 0.5 0.82 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
21 0.5 0.91 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
22 0.5 1 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
23 0.5 0.3 -21 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
24 0.5 0.3 -16.8 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
25 0.5 0.3 -12.6 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
26 0.5 0.3 -8.4 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
27 0.5 0.3 -4.2 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
28 0.5 0.3 0 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
29 0.5 0.3 4.2 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
30 0.5 0.3 8.4 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
31 0.5 0.3 12.6 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
32 0.5 0.3 16.8 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
33 0.5 0.3 21 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
34 0.5 0.3 -14 0 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
35 0.5 0.3 -14 9 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
36 0.5 0.3 -14 18 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
37 0.5 0.3 -14 27 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
38 0.5 0.3 -14 36 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
39 0.5 0.3 -14 45 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
40 0.5 0.3 -14 54 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
41 0.5 0.3 -14 63 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
42 0.5 0.3 -14 72 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
43 0.5 0.3 -14 81 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
44 0.5 0.3 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
45 0.5 0.3 -14 90 0 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
46 0.5 0.3 -14 90 0.1 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
47 0.5 0.3 -14 90 0.2 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
48 0.5 0.3 -14 90 0.3 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
49 0.5 0.3 -14 90 0.4 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
50 0.5 0.3 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
51 0.5 0.3 -14 90 0.6 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
52 0.5 0.3 -14 90 0.7 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
53 0.5 0.3 -14 90 0.8 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
54 0.5 0.3 -14 90 0.9 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
55 0.5 0.3 -14 90 1 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
56 0.5 0.3 -14 90 0.5 0.19 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
57 0.5 0.3 -14 90 0.5 0.2548 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
58 0.5 0.3 -14 90 0.5 0.3196 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
59 0.5 0.3 -14 90 0.5 0.3844 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
60 0.5 0.3 -14 90 0.5 0.4492 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
61 0.5 0.3 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
62 0.5 0.3 -14 90 0.5 0.5788 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
63 0.5 0.3 -14 90 0.5 0.6436 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
64 0.5 0.3 -14 90 0.5 0.7084 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
65 0.5 0.3 -14 90 0.5 0.7732 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
66 0.5 0.3 -14 90 0.5 0.838 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
67 0.5 0.3 -14 90 0.5 0.514 0.1 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
68 0.5 0.3 -14 90 0.5 0.514 0.2837 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
69 0.5 0.3 -14 90 0.5 0.514 0.4674 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
70 0.5 0.3 -14 90 0.5 0.514 0.6511 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
71 0.5 0.3 -14 90 0.5 0.514 0.8348 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
72 0.5 0.3 -14 90 0.5 0.514 1.0185 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
73 0.5 0.3 -14 90 0.5 0.514 1.2022 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
74 0.5 0.3 -14 90 0.5 0.514 1.3859 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
75 0.5 0.3 -14 90 0.5 0.514 1.5696 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
76 0.5 0.3 -14 90 0.5 0.514 1.7533 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
77 0.5 0.3 -14 90 0.5 0.514 1.937 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
78 0.5 0.3 -14 90 0.5 0.514 0.944 0.1 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
79 0.5 0.3 -14 90 0.5 0.514 0.944 0.145 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
80 0.5 0.3 -14 90 0.5 0.514 0.944 0.19 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
81 0.5 0.3 -14 90 0.5 0.514 0.944 0.235 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
82 0.5 0.3 -14 90 0.5 0.514 0.944 0.28 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
83 0.5 0.3 -14 90 0.5 0.514 0.944 0.325 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
84 0.5 0.3 -14 90 0.5 0.514 0.944 0.37 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
85 0.5 0.3 -14 90 0.5 0.514 0.944 0.415 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
86 0.5 0.3 -14 90 0.5 0.514 0.944 0.46 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
87 0.5 0.3 -14 90 0.5 0.514 0.944 0.505 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
88 0.5 0.3 -14 90 0.5 0.514 0.944 0.55 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
89 0.5 0.3 -14 90 0.5 0.514 0.944 0.247 0.2 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
90 0.5 0.3 -14 90 0.5 0.514 0.944 0.247 0.3583 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
91 0.5 0.3 -14 90 0.5 0.514 0.944 0.247 0.5166 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
92 0.5 0.3 -14 90 0.5 0.514 0.944 0.247 0.6749 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
93 0.5 0.3 -14 90 0.5 0.514 0.944 0.247 0.8332 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
94 0.5 0.3 -14 90 0.5 0.514 0.944 0.247 0.9915 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
95 0.5 0.3 -14 90 0.5 0.514 0.944 0.247 1.1498 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
96 0.5 0.3 -14 90 0.5 0.514 0.944 0.247 1.3081 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
97 0.5 0.3 -14 90 0.5 0.514 0.944 0.247 1.4664 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
98 0.5 0.3 -14 90 0.5 0.514 0.944 0.247 1.6247 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
