%eval_id interface RELDEPTH       DIAMETER       POSITION       ANGLE          ELECTRELDEPTH  THICKNESS_SKIN THICKNESS_SCT  THICKNESS_APONEUROSIS THICKNESS_LOOSE_AREOLAR_TISSUE THICKNESS_SKULL_OUTER THICKNESS_SKULL_DIPLOE THICKNESS_SKULL_INNER THICKNESS_CSF  CONDUCTIVITY_SKIN CONDUCTIVITY_SCT CONDUCTIVITY_APONEUROSIS CONDUCTIVITY_LOOSE_AREOLAR_TISSUE CONDUCTIVITY_SKULL_CORTICAL CONDUCTIVITY_SKULL_DIPLOE CONDUCTIVITY_CSF AFmax_4um      GAFmax_4um     
1        INTERFACE  0.3162087364   0.1728629862   -4.684899347   6.520521836    0.94016965     0.5756928052   0.7741411304   0.1040994572   1.524356148    1.480113975    3.140938678    2.44788408     2.461384437    0.04966242807  0.02048670113  0.05475581331  0.1491008927   0.008317581683 0.3809547997   0.999836882    281.0889249    49.16161085    
2        INTERFACE  0.4678142294   0.9833569401   -18.51263189   70.40400773    0.3650108702   0.4979111478   1.33428687     0.401470849    1.390429116    3.087136124    3.455353445    1.170738355    5.050850785    0.2575047693   0.3078186002   0.1275136634   0.04845661108  0.003097071381 0.4406430337   2.032325644    107.9153403    7.865202168    
3        INTERFACE  0.02019736962  0.5585214869   -4.24355316    56.76381536    0.1044089231   0.4404022867   0.6473657813   0.5347574058   1.480093541    0.3440675261   1.939547434    0.230444743    4.612916749    0.09343070676  0.03294892783  0.08542895981  0.0403260959   0.01034998646  0.09953397084  0.7081177878   66.90410169    5.598856509    
4        INTERFACE  0.5547613304   0.3288426756   -20.67831232   21.27328478    0.8220082281   0.4197857985   0.9744176794   0.333849116    0.3648977089   2.876456122    1.854006093    0.6601685677   2.101618121    0.211328826    0.3292465115   0.1316308158   0.143394137    0.002255210302 0.4169448767   1.267828623    225.8233859    26.49852856    
5        INTERFACE  0.8848379876   0.7120788317   -2.807527483   22.87196311    0.8519203122   0.1976875544   1.376219419    0.4384183799   0.8124923751   1.373422377    1.739172752    0.7369279411   3.923004283    0.2470498776   0.2122430329   0.1467431967   0.06717796665  0.009222342436 0.378452383    3.254852063    78.18998073    8.970854646    
6        INTERFACE  0.130268079    0.5869924975   -9.412511399   69.26316093    0.7750378242   0.3617263065   1.034486912    0.3139443346   1.611727141    0.3484572497   3.166683256    2.543599736    3.415168264    0.185559228    0.1611584177   0.015446825    0.05198367803  0.01158484031  0.3181612117   2.46146754     151.7950731    5.474397704    
7        INTERFACE  0.2257160626   0.1204695951   19.7339981     0.4547170285   0.1251657273   0.7214152277   1.191301687    0.2885958863   1.153341215    1.521833946    3.389944948    1.663411807    3.654779662    0.230936757    0.1038259725   0.1107246346   0.1339539949   0.006922215305 0.2624821413   2.821258178    156.1095706    33.03570924    
8        INTERFACE  0.01416493119  0.6832670395   2.610499616    79.70434278    0.2415923017   0.485280339    1.065739873    0.3373594831   0.4268619842   2.877238095    4.213687421    2.186470589    4.245627217    0.08631515409  0.1223567787   0.1145930626   0.03426189235  0.01357822021  0.458254122    2.4674536      44.30148378    2.706143323    
9        INTERFACE  0.7127104895   0.5685147594   16.24570754    63.86543211    0.4261136643   0.3122250014   1.46231875     0.2943731583   0.9073479402   0.7788258871   3.138750314    2.795178659    3.383152867    0.181248956    0.08018841909  0.1141543311   0.05980513843  0.01236950982  0.3080380691   0.8292945268   184.7122203    15.21959713    
10       INTERFACE  0.2800425101   0.6595734338   15.46533776    32.08892264    0.9548460536   0.8208246589   1.402803224    0.3691879726   0.7907396442   1.468932367    4.015176054    1.457273043    4.668172967    0.04002907724  0.1240883098   0.04188060815  0.0594380856   0.006005176272 0.3520726914   3.364598607    98.52219719    16.90387263    
11       INTERFACE  0.7990032333   0.7527141828   -13.77845315   43.26303443    0.3207844708   0.4751806596   0.9494186364   0.3880968763   1.514237718    0.7365014117   1.749487208    1.788268825    4.881465859    0.2714895049   0.112078372    0.0699588783   0.06689674316  0.01219724544  0.2519728162   0.8380873553   251.6280781    8.173212291    
12       INTERFACE  0.6308443495   0.1955490822   -19.5317154    37.79064187    0.529021086    0.3972328584   1.14842235     0.195660938    0.7891194667   2.873918345    3.297119278    0.3826363829   4.71954017     0.2660582368   0.1473135908   0.01100487583  0.04263809529  0.007708229863 0.1996472487   3.413694831    380.9924666    19.59023358    
13       INTERFACE  0.5649484689   0.6992296371   16.52139759    37.90486342    0.9599740677   0.703153732    0.9315210359   0.4514337455   0.2239540699   2.693863291    1.562626814    1.803345414    3.006925313    0.1307894845   0.1072622003   0.03267237792  0.1187766571   0.0068812069   0.4490579387   0.3863852462   159.2014312    22.10169044    
14       INTERFACE  0.7391016313   0.4376177659   6.784152076    32.88376042    0.3120505135   0.4716718437   0.4725584019   0.396656506    0.2204147009   2.860786186    2.211318068    1.691049014    4.764186709    0.07799954024  0.2619965784   0.02714756696  0.1355356957   0.008215029335 0.15900756     1.478248559    127.3540913    24.44646535    
15       INTERFACE  0.7953920018   0.259916262    -19.90822872   8.935823849    0.6502782322   0.2497599098   0.6685505292   0.2056208434   1.045200158    2.881719498    1.753228291    0.438091478    4.490556574    0.09881674905  0.06279442011  0.04200087839  0.05433191334  0.001507863183 0.2404580971   3.493802167    936.0696174    116.0941194    
16       INTERFACE  0.05834302301  0.7578451566   4.743419798    0.5950123544   0.6766192377   0.2887873929   1.084909874    0.4285954856   0.2791928519   1.963529386    2.405019534    1.254495685    2.991409188    0.1564735753   0.006542762547 0.08252421042  0.08618740141  0.005160639311 0.08077620739  3.520248086    174.0141475    68.45710891    
17       INTERFACE  0.1008646911   0.5283416859   -18.76665899   70.49937586    0.2227070317   0.8293344598   1.69552714     0.2350576833   0.9445896096   1.108513656    2.699137895    2.382808634    3.463820432    0.2476712168   0.2244452901   0.1390188087   0.029240773    0.00106848227  0.2042060668   0.7220306821   123.8919128    8.107293002    
